"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification"
"transaction_parties","to_party","To (Payee)","string","Company name or individual full name","Manual","Name of the entity receiving money. Free text for same reasons as from_party. For tenant-facing transactions: platform receives. For landlord payouts: landlord name. For refunds: tenant name."
"transaction_parties","to_party_type","To Party Type","enum","Tenant / Landlord / Vendor / Platform / Third Party / Government","Manual","Classification of the payee. Mirrors from_party_type logic. Together from_party_type + to_party_type defines the transaction's commercial path (e.g. Tenant → Platform for rent collection, Platform → Landlord for payouts)."
"transaction_parties","to_party_info","To Party information","string","GST Number, PAN Card, Address etc","Derived","GSTIN number, Address etc"
"PAYMENT DETAILS — how and where money moved","","","","","",""
"transaction_payment","payment_channel","Payment Channel","enum","UPI / NEFT / RTGS / IMPS / Auto-debit (NACH) / Virtual Account / Payment Link / Cheque / Cash / Other","Manual / Webhook","How the payment was made. Changed from free text to enum — free text creates inconsistent values (""upi"", ""UPI"", ""Upi"") that break aggregation. Enum enforces consistency. Drives collection method analysis: which mediums have highest success rates, fastest settlement, lowest failure rates."
"transaction_payment","payment_provider","Payment Providor","enum","Kotak / IDFC / Razorpayx / Volopay ","Manual / Webhook","Through which bank or medium the payment was made"
"transaction_payment","gateway_reference_id","Gateway Reference ID","string","e.g. pay_xxxxxxxx (Razorpay) or order_xxxxxxxx (Cashfree)","Webhook / System","Reference ID from the payment gateway (Razorpay, Cashfree etc.). Primary key for reconciliation between HubSpot transaction records and gateway dashboards. Enables looking up the exact payment in the gateway portal for dispute resolution."
"transaction_payment","settlement_reference_id","Settlement Reference ID","string","UTR / Settlement batch ID","Webhook / System","Bank settlement reference or UTR number. Distinct from gateway reference — this is the interbank identifier after the gateway settles funds to the platform account. Used for bank statement reconciliation."
"TRANSACTION AUDIT — who created, approved, and when","","","","","",""
"transaction_audit","created_by","Created By","string","Full name or user ID","System / Manual","Who created this transaction record. System auto-captures the logged-in HubSpot user if using HubSpot native record creation. Manual fallback for records created via API or import. Audit trail — cannot be edited after creation."
"transaction_audit","created_date","Created Date","datetime","","System","Timestamp when the record was created in the system. Distinct from transaction_date (when the money moved). Auto-set by system. Used to detect backdated entries: large gap between created_date and transaction_date warrants review."
"transaction_audit","authorised_by","Authorised By","string","Full name or user ID","Manual","Who approved this transaction. Separate from created_by to enforce dual-control — the same person should not create and authorise a transaction. Critical for financial compliance and fraud prevention. Required field for all Debit transactions above a threshold."
"transaction_audit","authorised_date","Authorised Date","datetime","","System","Timestamp when the record was approved in the system. Distinct from transaction_date (when the money moved). Auto-set by system. Used to detect backdated entries: large gap between created_date and transaction_date warrants review."
"transaction_audit","internal_comment","Internal Comment","string","","Manual","Free text notes for ops or finance team. Not visible to tenants or landlords. Used for exceptions, manual adjustments, and audit context (e.g. ""late entry — payment confirmed via WhatsApp screenshot on date X""). Append-only in practice to preserve history."
"LINE ITEMS — breakdown of what this transaction covers","","","","","",""
"⚠ ARCHITECTURE NOTE: If a single transaction can have more than one line item (e.g. rent + maintenance + utility in one payment), line items should be a separate associated object — not fields on this record. The fields below are correct if each transaction maps to exactly one line item. Flag this before build.","","","","","",""
"transaction_line_items","line_item_date","Line Item Date","date","YYYY-MM-DD","Manual","Date specific to this line item. May differ from transaction_date — e.g. a payment made on the 5th may cover rent for the 1st. Used for period-accurate accrual accounting and month-close allocation."
"transaction_line_items","cost_revenue_center","Cost / Revenue Center","string","eg: Property Onboarding & Set up / Tech & Platform / Payment Processing / Operations / Furniture & Inventory","Manual","Internal accounting code attributing this line item to a specific property, city, or business unit. Enables P&L at the property level (PID), city level, or product line level. Should be standardised — consider making this an enum once cost centers are defined."
"transaction_line_items","line_item_description","Description","string","","Manual","Human-readable explanation of what this line item covers, beyond what the category fields capture. E.g. ""August rent for Room 3B, pro-rated for 25 days"". The narrative layer for audit and dispute resolution."
"transaction_line_items","attachments","Attachments","string","File URL (comma-separated if multiple) or attachment","Manual","Supporting documents for this line item: invoices, receipts, payment confirmation screenshots, bank statements. Stored as file URLs. Essential for audit trail and dispute resolution. Multiple files comma-separated or stored as a multi-file field depending on HubSpot configuration."
"TRANSACTION LINKS — associations to other objects ★ Recommended additions not in original spec","","","","","",""
"transaction_links","contract_uid","Contract UID / PO ID / Invoice","string","{Party}_{PID}_{RID}_{Start Date}","Manual / Workflow","★ RECOMMENDED. Links this transaction to a specific Contract. Without this, you cannot do contract-level P&L (e.g. total revenue collected vs total costs for contract X). This is the single most important link — every financial transaction should be traceable to a contract."
"transaction_links","contact_id","Contact ID (Tenant)","number","Merchant ID / Tenant ID / Vendor ID","Manual / Workflow","★ RECOMMENDED. Links this transaction to the tenant Contact record. Enables tenant-level financial history: all payments a tenant has made across all tenures. Required for FNF calculation and win-back analysis."
"transaction_links","pid","PID","number","","Manual / Workflow","★ RECOMMENDED. Property ID this transaction relates to. Enables property-level revenue and cost reporting without joining through Contract. Denormalized for fast aggregation."
"transaction_links","rid","RID","string","","Manual / Workflow","★ RECOMMENDED. Room ID this transaction relates to. Enables room-level P&L — the most granular financial view in the system."
