"Group","Field API Name","Field Label","Data Type","Enum Values / Format","Input Method","Justification"
"tenant_attribution","utm_content","UTM Content","string","","Workflow","Ad variant tracking."
"tenant_attribution","utm_term","UTM Term","string","","Workflow","Keyword tracking."
"TENANT REQUIREMENTS — lead-stage snapshot, static after qualification","","","","","",""
"tenant_requirements","budget_max","Budget Maximum (INR)","number","","Manual","Maximum budget stated by tenant at inquiry. Used for inventory matching and lead scoring. Capture this alongside preferred_occupancy_type for accurate filtering."
"tenant_requirements","preferred_micromarkets","Preferred Micromarkets","multi-enum","City-specific neighbourhoods","Manual","Currently single-select. Tenants prefer multiple areas. Must be multi-select for accurate matching."
"tenant_requirements","preferred_occupancy_type","Preferred Occupancy Type","enum","Full Home / Private Room","Manual","Not captured today as a structured field. Fundamental split — drives entirely different inventory sets."
"tenant_requirements","preferred_furnished_type","Preferred Furnished Type","enum","Furnished / Semi-Furnished / Unfurnished","Manual","Not captured today. Key filter for inventory matching."
"tenant_requirements","preferred_move_in_timeline","Preferred move-in timeline","enum","Drop Down - immediate/within 2 weeks/flexible","Manual","Rename from when_are_you_planning_to_move_in_ to clean API name. Tenant-stated preference; distinct from actual move-in on Contract."
"tenant_requirements","gender_preferences","Gender Preferences","enum","Male Only / Female Only / No Preference","Manual","Required for room allocation in shared properties."
"tenant_requirements","food_preferences","Food Preferences","enum","Vegetarian / Non-Vegetarian / Vegan / No Preference","Manual","Captured for coliving compatibility."
"tenant_requirements","has_pet","Has Pet","bool","true / false","Manual","Fix do_you_have_a_pet_ from enum to bool. Some properties have pet restrictions."
"tenant_requirements","smoking_preferences","Smoking Preferences","enum","Smoker / Non-Smoker / Occasional","Manual","Flatmate and property compatibility."
"tenant_requirements","custom_preference","Any custom instructions from tenants","text","","",""
"TENANT LIFECYCLE STATUS — always reflects current state; system-written only, never manually edited","","","","","",""
"tenant_lifecycle_status","tenant_lifecycle","Tenant Lifecycle Stage","enum","New Inquiry / Visit Scheduled / Visit Done / Negotiation / Converted / Gestation / Moved In / Notice Period / Moved Out / Dead Lead","Workflow (system-only)","SINGLE SOURCE OF TRUTH for tenant stage. Never manually edited — every transition is triggered by a system event. Replaces customer_type, tenant_status, lifecyclestage, hs_lead_status, inbound_lead_status (5 overlapping fields retired)."
"tenant_lifecycle_status","current_pid","Current PID","number","","Workflow","Denormalized from active Contract. Enables fast list views and property-level filtering on Contact without joining Contract object."
"tenant_lifecycle_status","current_rid","Current RID","string","","Workflow","Denormalized from active Contract. Updated on every move-in and internal transfer. Essential for movement detection logic."
"TENANT QUALIFICATION — set during lead-to-conversion funnel","","","","","",""
"tenant_qualification","qualification_status","Qualification Status","enum","Qualified / Not Qualified / Dead / Paused","Manual","Explicit gate separate from lifecycle stage. A tenant can be Qualified while still in Visit Scheduled stage."
"tenant_qualification","disqualification_reason","Disqualification Reason","enum","Budget / Location / Availability / No Response / Chose Competitor / Life Event / Other","Manual","Consolidates dead_lead_reasons + lead_disqualification_reason + lead_not_qualified_reason (3 overlapping string fields) into 1 structured enum. Enables loss-reason analysis."
"tenant_qualification","disqualification_detail","Disqualification Detail","string","","Manual","Free text supplement to enum. For context that does not fit a category."
"tenant_qualification","bgv_status","BGV Status","enum","Not Started / In Progress / Passed / Failed","Manual","Currently not tracked at all. Critical pre-move-in gate. Failure should block move-in workflow."
"tenant_qualification","bgv_report","BGV Report","string","File URL","Read-Only / Manual","Link to the uploaded BGV report document. Stored as a file URL once the BGV agency submits results. Distinct from bgv_status (the outcome) — this is the actual report evidence."
"tenant_qualification","bgv_completed_date","BGV Completed Date","date","YYYY-MM-DD","Manual","Date BGV result received. Enables TAT tracking for BGV process."
"TENANT VISIT SUMMARY — aggregates; source of truth is Meeting records","","","","","",""
"tenant_visit_summary","total_visits_count","Total Visits","number","","Workflow","Total visit meetings booked for this contact across all statuses (scheduled, completed, cancelled). Incremented on every new meeting creation."
"tenant_visit_summary","visits_cancelled","Visits Cancelled","number","","Workflow","Count of visit meetings that were cancelled before completion. Tracks no-show and rescheduling behaviour. High cancellation rate may indicate cold lead or scheduling friction."
"tenant_visit_summary","visits_completed","Visits Completed","number","","Workflow","Count of visit meetings that were completed with the tenant attending (in-person or virtual). Primary input for visits-to-conversion rate. Distinct from total_visits_count which includes cancellations."
"tenant_visit_summary","first_visit_date","First Visit Date","date","YYYY-MM-DD","Workflow","Renamed from visit_date. Set on first meeting completion; never overwritten."
"tenant_visit_summary","rids_visited","RIDs Visited","string","Comma-separated RIDs: R101, R205, R318","Workflow","Comma-separated list of RIDs where visits were completed. Appended on each completed visit. Enables room-level funnel analysis: which rooms are visited most and which convert to bookings."
"tenant_visit_summary","feedback","Feedback","string","","Manual","Free text feedback captured during or after a visit. Logs tenant objections, stated preferences, and qualitative observations not captured in the structured visit outcome field on the Meeting record. Updated by the sales rep post-visit."
"TENANT SATISFACTION — person-level, aggregated across all tenures","","","","","",""
"tenant_satisfaction","onboarding_csat_score","Onboarding CSAT Score","number","1 – 5","Webhook / Manual","Fix tenant_onboarding_csat from string to number. Collected post-move-in."
"tenant_satisfaction","offboarding_csat_score","Offboarding CSAT Score","number","1 – 5","Webhook / Manual","Fix tenant_onboarding_csat from string to number. Collected post-move-in."
"tenant_satisfaction","last_nps_score","Last NPS Score","number","0 – 10","Webhook / Manual","Periodic NPS rating. Updated on each survey response."
"tenant_satisfaction","last_nps_date","Last NPS Date","date","YYYY-MM-DD","Workflow","Date of most recent NPS response."
"tenant_satisfaction","nps_category","NPS Category","enum","Promoter (9–10) / Passive (7–8) / Detractor (0–6)","Workflow","Should be auto-derived from last_nps_score by workflow, not manually set."
"tenant_satisfaction","last_nps_comment","Last NPS Comment","string","","Read-Only","Free text from most recent survey. Written by NPS tool."
